ra,dec,l,b,parallax,pmra,pmdec,g,bp,rp,parallax_error,ruwe
56.032973226299895,22.795932068738804,167.01024382148412,-24.94113646472563,1.1992561326526086,2.9307156741036033,-4.799983734463591,17.110474,,,0.08335351,1.0464501
56.03023927978879,22.80217900253116,167.00355779374004,-24.938200219084084,1.99948297136859,3.5773605658634624,-3.211751821248672,20.652172,21.43118,19.420063,1.06072,1.0538833
56.036537984608174,22.799231359258673,167.01048554632257,-24.93648491701997,,,,21.016304,21.492624,20.225845,,
56.0332679781953,22.796005571134582,167.01041142521694,-24.940899518936472,1.3621995435179035,3.478210914214866,-4.477013674317521,16.183897,16.7221,14.99967,0.065709524,0.95738775
56.04293918893124,22.804878050380577,167.0111248457859,-24.928338126128924,0.319824338742816,-1.236814352958639,-2.8093574554465106,20.32366,20.85075,19.26947,0.7706415,1.1994572
56.042325642339826,22.813378582359572,167.0043674254706,-24.922419822215677,2.3207261425969867,26.284515695391853,-6.046015227035095,13.113201,13.591332,12.464505,0.030259512,2.1621768
56.02555951439681,22.80750492430816,166.99608840728607,-24.937150373856912,0.3476724827053264,1.5924566403495488,-1.453115741647416,19.204397,20.050303,18.315226,0.29626417,1.0566763
56.02516956163685,22.8101277134858,166.99385253080848,-24.93544810620936,0.2349747230622927,0.8339241780286097,1.4085058298408302,18.319601,18.904491,17.622465,0.1623913,0.99628234
56.02347360832027,22.818564593759906,166.98632811574916,-24.930245291646063,0.4722171793047625,-0.2670263240273874,-0.7494921038623095,19.684721,20.22688,18.996983,0.39001608,1.0289447
56.02476853885641,22.81746675332833,166.98811639968687,-24.93025752313888,-0.0858445456562854,1.4193057170053267,-2.611836274419054,18.796944,19.393854,18.067211,0.22329187,1.083034
56.037313626055315,22.832368988085697,166.98653173513918,-24.911450391253055,0.4327869471100472,0.8895642598886713,-1.107658795791725,18.005772,18.471485,17.403883,0.13640495,1.1110384
56.05508504289999,22.838794150049225,166.99515501073682,-24.895690829281712,1.5262751611428051,1.9827955358514568,-6.769819778146122,20.122734,21.126017,18.931322,0.6353333,0.9280108
56.018505328902805,22.836337631328867,166.96942860491126,-24.92014680333779,2.462935642795658,29.772380081516395,-31.852916299099245,20.470293,20.83897,19.120363,0.83149856,1.1267335
56.015690227598064,22.831448087481796,166.9709273015023,-24.925512601450073,0.7349664928856626,-1.3250694533528569,-4.300969923247054,20.454586,20.942917,19.629807,0.8665995,1.0262264
56.03074707829868,22.844133834411785,166.97287770641327,-24.906794785329883,1.2077983768881158,5.86658841642164,5.514965983881426,19.816397,20.84725,18.737974,0.47930107,1.0698677
56.03466647572099,22.855411083229615,166.96748200269832,-24.896011948582405,0.8408431002293755,1.8637082447032396,-0.0254570393524128,16.217323,16.762445,15.516895,0.050267782,0.9816031
56.01921623869276,22.84898298671416,166.96060481079755,-24.91033390683424,1.3587215726040007,13.985507168415998,-9.132000629540714,15.933902,16.553751,15.118331,0.059752494,1.4874519
56.030579900135,22.85939630941986,166.96145564621912,-24.89558617715872,-0.3752540268299635,1.0208154075686833,0.0183882579583304,20.365444,20.94721,19.721144,1.1292281,0.9757844
56.0253597842153,22.86329736007316,166.9546381905768,-24.89592342307383,,,,21.10829,21.20605,19.95019,,
56.02545969651456,22.875047483713622,166.946019041068,-24.887151582307773,-0.046944091788864,0.5793824752538729,0.0688308164125896,19.883205,20.746815,19.051224,0.5705464,1.1203086
56.02515279093414,22.87312431532727,166.9472109085797,-24.888767002412667,-0.277650839387916,-0.1519251746885166,-1.0405808146398683,19.899696,20.250538,19.144,0.5047433,1.0451689
56.020843221650246,22.86795055118105,166.94779406130093,-24.89526739189273,0.5466210969358569,-0.0767643346513301,-4.637007097557984,18.125273,,,0.2923982,0.8802673
56.021073455338765,22.86802229866031,166.9479143423197,-24.895071824960116,0.048535511091612,2.247390272382658,-5.827042577418464,17.310362,17.40376,16.29063,0.19744478,2.5023525
56.12823239004184,22.82425158564254,167.06096135669938,-24.86115992117325,0.4019682075146524,0.9215203144983268,-1.5280003221135023,19.475681,19.969933,18.781826,0.33432797,1.0516843
56.14779004810264,22.787056028786537,167.10323830356293,-24.876564688680244,1.321238300402627,-0.6899805340895085,-6.63104956166582,14.307079,14.821265,13.636002,0.019820863,1.014217
56.133636756542096,22.790218931591617,167.0902493098208,-24.88300018614509,0.2577128420646251,0.3020275136036888,-1.1051048179649392,17.745098,18.22063,17.114985,0.11169666,1.0245322
56.13482332129199,22.80599016724557,167.0794511197225,-24.870592066630923,0.4488561353159522,5.064296139765675,-4.343728114141319,16.85911,17.382624,16.142609,0.07381927,1.1921569
56.144608285508,22.810343598645343,167.08358209168776,-24.86130429833747,1.3517979238544513,1.3808115229476057,-6.828145662930861,14.943775,15.449114,14.271872,0.03892598,1.5192524
56.16199860139787,22.823885404802443,167.0866174652955,-24.840501932225457,-0.2683470778372213,0.398341976291378,-3.4240077753728166,18.74734,19.134594,17.832369,0.4284561,2.2178378
